Type,T_MtoP,T_PtoI,T_ItoD,I_MtoP,I_PtoI,I_ItoD,M_MtoP,M_PtoI,M_ItoD,R_MtoP,R_PtoI,R_ItoD,P_MtoP,P_PtoI,P_ItoD
4,0,0.809807122,0.885695517,0.968277693,0.993424177,0.995063066,0.48313579,0.02723819,0.691638827,0.51833117,0.038922161,0.684317648,0.455688715,0.052993,0.70908308
4,0,0.811475515,0.885611653,0.968154728,0.993396997,0.995040953,0.483584613,0.027205795,0.691478848,0.519622445,0.039017171,0.683914244,0.456184596,0.052891314,0.708883703
4,0,0.813308418,0.884951651,0.9679901,0.993365526,0.995015383,0.483996034,0.027176231,0.6913324,0.520297289,0.038882196,0.683630824,0.456825823,0.052869081,0.708667457
4,0,0.815726936,0.885409296,0.967807114,0.993328273,0.994984984,0.484380066,0.027148634,0.691195667,0.520797133,0.038630396,0.68336159,0.457356632,0.052792966,0.708465815
4,0,0.81812495,0.885757387,0.967645168,0.993287861,0.994952619,0.484735429,0.027122736,0.691069603,0.521260858,0.038351327,0.683094144,0.458789974,0.052523732,0.707903624
4,0,0.81975013,0.886670053,0.967441082,0.993231952,0.994908214,0.485561907,0.027064413,0.690774798,0.521781206,0.038137317,0.682832122,0.459229022,0.052270114,0.707664907
4,0,0.820836484,0.886813223,0.967197418,0.993178248,0.994864762,0.486143708,0.026906997,0.690522254,0.522604525,0.037894309,0.682453334,0.459690154,0.052047491,0.707430243
4,0,0.821017027,0.886792719,0.966918349,0.99312979,0.994824648,0.486893654,0.026723087,0.690202594,0.523369312,0.037659079,0.682098508,0.460315406,0.051810503,0.707137764
4,0,0.821721375,0.890584648,0.966627121,0.993094504,0.994794011,0.487574756,0.026555479,0.689912677,0.525148153,0.037814528,0.681548655,0.460736841,0.05165717,0.706942797
4,0,0.822226703,0.893702626,0.966386855,0.993053794,0.9947595,0.488203436,0.026401222,0.689644337,0.526561022,0.037686229,0.681010544,0.461510539,0.051557899,0.706654131
4,0,0.822658777,0.899238586,0.966120005,0.993014216,0.99472636,0.488771975,0.026261419,0.689401567,0.526970983,0.037525505,0.680807889,0.464357942,0.051323324,0.705643177
4,0,0.824639797,0.907013178,0.965904236,0.992977858,0.994696379,0.489294171,0.026132405,0.689179182,0.527424455,0.037250578,0.680543542,0.466841787,0.051122189,0.704759181
4,0,0.825531542,0.91260016,0.965700746,0.992947936,0.994670928,0.489775181,0.026014388,0.688973486,0.527875781,0.037340164,0.680423915,0.469172955,0.050815254,0.703882098
4,0,0.82593745,0.918020606,0.96543926,0.992930114,0.994653881,0.490217865,0.025905132,0.688784122,0.528231502,0.037468463,0.68035239,0.471138179,0.050724208,0.703202665
